user_id,order_id,discount_cost,discount_type,basket,day,month,year
1185,1492.0,0.0,0.0,42000.0,25.0,1.0,2022.0
1953,2721.0,0.0,0.0,14000.0,7.0,2.0,2022.0
1879,2599.0,0.0,0.0,12000.0,6.0,2.0,2022.0
298,311.0,15000.0,1.0,14000.0,7.0,1.0,2022.0
1311,1690.0,0.0,0.0,12000.0,28.0,1.0,2022.0
1376,1789.0,0.0,0.0,8000.0,29.0,1.0,2022.0
1336,1729.0,0.0,0.0,14000.0,28.0,1.0,2022.0
405,435.0,12000.0,1.0,21000.0,9.0,1.0,2022.0
2689,4171.0,0.0,0.0,20000.0,21.0,2.0,2022.0
1878,2598.0,0.0,0.0,12700.0,6.0,2.0,2022.0
1184,1490.0,10000.0,1.0,28500.0,25.0,1.0,2022.0
2397,3605.0,12000.0,1.0,21000.0,16.0,2.0,2022.0
1256,1603.0,0.0,0.0,57000.0,27.0,1.0,2022.0
2355,3515.0,0.0,0.0,17000.0,15.0,2.0,2022.0
3594,6286.0,0.0,0.0,8800.0,13.0,3.0,2022.0
1509,2027.0,0.0,0.0,50000.0,1.0,2.0,2022.0
4221,7881.0,0.0,0.0,60000.0,30.0,3.0,2022.0
6030,13264.0,0.0,0.0,56000.0,4.0,5.0,2022.0
4501,8676.0,10000.0,1.0,9000.0,6.0,4.0,2022.0
2560,3888.0,0.0,0.0,15000.0,18.0,2.0,2022.0
2115,3047.0,10000.0,1.0,17000.0,11.0,2.0,2022.0
1407,1835.0,0.0,0.0,28000.0,29.0,1.0,2022.0
1750,2411.0,0.0,0.0,20000.0,4.0,2.0,2022.0
839,999.0,15000.0,1.0,38000.0,18.0,1.0,2022.0
3845,6887.0,10000.0,1.0,32000.0,19.0,3.0,2022.0
214,223.0,0.0,0.0,10500.0,5.0,1.0,2022.0
4426,8457.0,0.0,0.0,8000.0,5.0,4.0,2022.0
6963,16768.0,0.0,0.0,24000.0,28.0,5.0,2022.0
1971,2753.0,0.0,0.0,11000.0,7.0,2.0,2022.0
1782,2450.0,0.0,0.0,20000.0,4.0,2.0,2022.0
1838,2537.0,0.0,0.0,20000.0,5.0,2.0,2022.0
2727,4248.0,0.0,0.0,5000.0,22.0,2.0,2022.0
1419,1853.0,10000.0,1.0,15500.0,29.0,1.0,2022.0
5226,10670.0,0.0,0.0,16500.0,18.0,4.0,2022.0
2353,3513.0,0.0,0.0,30000.0,15.0,2.0,2022.0
142,146.0,15000.0,1.0,20000.0,3.0,1.0,2022.0
185,190.0,0.0,0.0,35000.0,4.0,1.0,2022.0
1156,1447.0,0.0,0.0,60000.0,24.0,1.0,2022.0
1187,1497.0,0.0,0.0,30000.0,25.0,1.0,2022.0
1224,1550.0,0.0,0.0,12000.0,26.0,1.0,2022.0
1035,1259.0,10000.0,1.0,20000.0,21.0,1.0,2022.0
1030,1253.0,10000.0,1.0,32000.0,21.0,1.0,2022.0
4408,8415.0,0.0,0.0,24000.0,4.0,4.0,2022.0
827,982.0,0.0,0.0,28000.0,18.0,1.0,2022.0
4709,9246.0,0.0,0.0,48000.0,10.0,4.0,2022.0
3464,5951.0,0.0,0.0,14000.0,10.0,3.0,2022.0
4486,8634.0,10000.0,1.0,12000.0,6.0,4.0,2022.0
3932,7151.0,0.0,0.0,22000.0,22.0,3.0,2022.0
3486,5991.0,0.0,0.0,26000.0,10.0,3.0,2022.0
6731,15911.0,0.0,0.0,12000.0,23.0,5.0,2022.0
557,623.0,0.0,0.0,40000.0,12.0,1.0,2022.0
4973,9922.0,10000.0,1.0,46000.0,14.0,4.0,2022.0
2875,4571.0,0.0,0.0,24000.0,25.0,2.0,2022.0
639,729.0,0.0,0.0,25000.0,14.0,1.0,2022.0
4783,9406.0,15000.0,1.0,18000.0,11.0,4.0,2022.0
1444,1902.0,10000.0,1.0,28000.0,30.0,1.0,2022.0
662,759.0,0.0,0.0,36000.0,14.0,1.0,2022.0
1495,2003.0,0.0,0.0,25000.0,31.0,1.0,2022.0
2249,3304.0,10000.0,1.0,20000.0,13.0,2.0,2022.0
2015,2845.0,15000.0,1.0,25000.0,8.0,2.0,2022.0
3935,7154.0,0.0,0.0,12000.0,22.0,3.0,2022.0
4571,8881.0,0.0,0.0,19500.0,8.0,4.0,2022.0
2698,4187.0,0.0,0.0,11500.0,21.0,2.0,2022.0
511,565.0,0.0,0.0,20000.0,11.0,1.0,2022.0
