,user_id,purchases
636,1683,9
637,376,9
638,5994,9
639,5260,9
640,7027,9
641,259,9
642,7105,9
643,2582,9
644,2244,9
645,5301,9
646,2592,9
647,2207,9
648,7043,9
649,5272,9
650,6215,9
651,7056,8
652,6499,8
653,2846,8
654,434,8
655,6495,8
656,1573,8
657,1567,8
658,231,8
659,4278,8
660,6151,8
661,4640,8
662,4637,8
663,852,8
664,3796,8
665,8235,8
666,421,8
667,4602,8
668,4589,8
669,3808,8
670,1069,8
671,3730,8
672,3721,8
673,3725,8
674,463,8
675,4864,8
676,5533,8
677,4067,8
678,2736,8
679,467,8
680,4850,8
681,2737,8
682,4086,8
683,1077,8
684,3667,8
685,7372,8
686,4749,8
687,461,8
688,7371,8
689,3689,8
690,81,8
691,787,8
692,1718,8
693,454,8
694,1387,8
695,6424,8
696,7357,8
697,6117,8
698,2202,8
699,873,8
700,8156,8
701,6268,8
702,339,8
703,1779,8
704,1846,8
705,3945,8
706,2216,8
707,8523,8
708,4388,8
709,5914,8
710,7933,8
711,6199,8
712,1524,8
713,6019,8
714,2242,8
715,2162,8
716,7958,8
717,7011,8
718,205,8
719,1794,8
720,4318,8
721,4003,8
722,2247,8
723,940,8
724,7215,8
725,6113,8
726,4506,8
727,6101,8
728,290,8
729,881,8
730,6377,8
731,885,8
732,2105,8
733,4147,8
734,6071,8
735,4510,8
736,2931,8
737,1447,8
738,5834,8
739,1864,8
740,4500,8
741,5732,8
742,6167,8
743,4163,8
744,7262,8
745,4039,8
746,5509,8
747,375,8
748,6957,8
749,2731,8
750,2601,8
751,563,8
752,5333,8
753,1681,8
754,2475,8
755,724,8
756,62,8
757,2707,8
758,2516,8
759,3624,8
760,2536,8
761,650,8
762,3538,8
763,6674,8
764,2701,8
765,5122,8
766,5117,8
767,708,8
768,4954,8
769,2695,8
770,5107,8
771,5095,8
772,6657,8
773,5084,8
774,3387,8
775,3613,8
776,5029,8
777,525,8
778,1983,8
779,8344,8
780,5051,8
781,5357,8
782,5059,8
783,3512,8
784,1979,8
785,4893,8
786,2473,8
787,5473,8
788,3511,8
789,3492,8
790,5277,8
791,7,8
792,2627,8
793,4114,7
794,5841,7
795,972,7
796,1672,7
797,2526,7
