0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,0.172839506,0.17037037,0.167901235,,0.125925926,0.091358025,0.081481481,0.101234568,0.044444444,0.064197531,0.111111111,0.10617284,0.101234568,0.088888889,0.034567901,0.09382716,0.09382716,0.086419753,0.101234568,,,,,,,,,,,,,,,,,
1,0.144254279,0.144254279,,0.13202934,0.105134474,0.092909535,0.092909535,0.029339853,0.04400978,0.117359413,0.080684597,0.095354523,0.058679707,0.024449878,0.097799511,0.092909535,0.095354523,0.085574572,,,,,,,,,,,,,,,,,,
1,0.171794872,,0.115384615,0.105128205,0.079487179,0.092307692,0.043589744,0.092307692,0.094871795,0.097435897,0.125641026,0.08974359,0.030769231,0.115384615,0.097435897,0.11025641,0.08974359,,,,,,,,,,,,,,,,,,,
1,,0.108108108,0.087087087,0.063063063,0.087087087,0.042042042,0.03003003,0.096096096,0.078078078,0.087087087,0.075075075,0.021021021,0.078078078,0.075075075,0.09009009,0.081081081,,,,,,,,,,,,,,,,,,,,
1,0.115511551,0.085808581,0.115511551,0.066006601,0.079207921,0.128712871,0.128712871,0.102310231,0.089108911,0.04620462,0.092409241,0.115511551,0.092409241,0.092409241,,,,,,,,,,,,,,,,,,,,,,
1,0.095394737,0.111842105,0.069078947,0.049342105,0.085526316,0.138157895,0.092105263,0.078947368,0.036184211,0.075657895,0.092105263,0.069078947,0.088815789,,,,,,,,,,,,,,,,,,,,,,,
1,0.154696133,0.060773481,0.077348066,0.127071823,0.149171271,0.121546961,0.099447514,0.049723757,0.066298343,0.093922652,0.110497238,0.08839779,,,,,,,,,,,,,,,,,,,,,,,,
1,0.049668874,0.079470199,0.132450331,0.165562914,0.145695364,0.09602649,0.036423841,0.09602649,0.086092715,0.119205298,0.099337748,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.048076923,0.125,0.163461538,0.105769231,0.067307692,0.048076923,0.115384615,0.153846154,0.105769231,0.076923077,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.076923077,0.11965812,0.115384615,0.085470085,0.02991453,0.094017094,0.094017094,0.106837607,0.102564103,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.12585034,0.119047619,0.088435374,0.023809524,0.112244898,0.095238095,0.142857143,0.119047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.11452514,0.075418994,0.039106145,0.122905028,0.086592179,0.083798883,0.075418994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.082508251,0.04950495,0.099009901,0.145214521,0.122112211,0.105610561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.039473684,0.105263158,0.095394737,0.115131579,0.115131579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.147368421,0.115789474,0.136842105,0.115789474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.125,0.138020833,0.106770833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.138461538,0.116923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.110429448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.109975076,0.104281954,0.102683849,0.09294051,0.094699279,0.092545031,0.090606191,0.085807095,0.078891434,0.083078696,0.083515221,0.081112547,0.078083005,0.078062787,0.082008781,0.085917525,0.088317933,0.069621765,0.078212782,0.069335201,0.077848606,0.071036863,0.07687971,0.075853008,0.073833368,0.083419447,0.072401193,0.084718549,0.091422544,0.067120195,0.077289733,0.08405479,0.098587719,0.099863891,0.075530587,0.055555556
